2019-01-24 08:46:10 install fonts-dejavu-core:all <none> 2.35-1
2019-01-24 08:46:10 status half-installed fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:10 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:10 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:10 install fontconfig-config:all <none> 2.11.94-0ubuntu1.1
2019-01-24 08:46:10 status half-installed fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:10 status triggers-pending man-db:amd64 2.7.5-1
2019-01-24 08:46:10 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:10 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2019-01-24 08:46:10 install libfontconfig1:amd64 <none> 2.11.94-0ubuntu1.1
2019-01-24 08:46:10 status half-installed libfontconfig1:amd64 2.11.94-0ubuntu1.1
2019-01-24 08:46:10 status unpacked libfontconfig1:amd64 2.11.94-0ubuntu1.1
2019-01-24 08:46:10 status unpacked libfontconfig1:amd64 2.11.94-0ubuntu1.1
2019-01-24 08:46:10 install libjpeg8:amd64 <none> 8c-2ubuntu8
2019-01-24 08:46:10 status half-installed libjpeg8:amd64 8c-2ubuntu8
2019-01-24 08:46:10 status unpacked libjpeg8:amd64 8c-2ubuntu8
2019-01-24 08:46:10 status unpacked libjpeg8:amd64 8c-2ubuntu8
2019-01-24 08:46:10 install libtiff5:amd64 <none> 4.0.6-1ubuntu0.5
2019-01-24 08:46:10 status half-installed libtiff5:amd64 4.0.6-1ubuntu0.5
2019-01-24 08:46:10 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.5
2019-01-24 08:46:10 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.5
2019-01-24 08:46:10 install libvpx3:amd64 <none> 1.5.0-2ubuntu1
2019-01-24 08:46:10 status half-installed libvpx3:amd64 1.5.0-2ubuntu1
2019-01-24 08:46:10 status unpacked libvpx3:amd64 1.5.0-2ubuntu1
2019-01-24 08:46:10 status unpacked libvpx3:amd64 1.5.0-2ubuntu1
2019-01-24 08:46:10 install libxpm4:amd64 <none> 1:3.5.11-1ubuntu0.16.04.1
2019-01-24 08:46:10 status half-installed libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2019-01-24 08:46:10 status unpacked libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2019-01-24 08:46:10 status unpacked libxpm4:amd64 1:3.5.11-1ubuntu0.16.04.1
2019-01-24 08:46:10 install libgd3:amd64 <none> 2.1.1-4ubuntu0.16.04.10
2019-01-24 08:46:10 status half-installed libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-01-24 08:46:10 status unpacked libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-01-24 08:46:10 status unpacked libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-01-24 08:46:10 install nginx-common:all <none> 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:10 status half-installed nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:10 status triggers-pending systemd:amd64 229-4ubuntu21.10
2019-01-24 08:46:10 status triggers-pending ureadahead:amd64 0.100.0-19
2019-01-24 08:46:10 status triggers-pending ufw:all 0.35-0ubuntu2
2019-01-24 08:46:10 status triggers-pending ureadahead:amd64 0.100.0-19
2019-01-24 08:46:10 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:10 status unpacked nginx-common:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:10 install nginx-core:amd64 <none> 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:10 status half-installed nginx-core:amd64 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:11 status unpacked nginx-core:amd64 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:11 status unpacked nginx-core:amd64 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:11 install nginx:all <none> 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:11 status half-installed nginx:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:11 status unpacked nginx:all 1.10.3-0ubuntu0.16.04.3
2019-01-24 08:46:11 status unpacked nginx:all 1.10.3-0ubuntu0.16.04.3
